proveedor_id,monto_compra,monto_pagado,Cuenta_por_pagar,DPO_proveedor
PR001,57900000,52400000.0,5500000.0,34.67184801381693
PR002,10330000,7630000.0,2700000.0,95.40174249757986
PR003,20980000,9280000.0,11700000.0,203.55100095328885
PR004,11110000,4990000.0,6120000.0,201.06210621062107
PR005,18830000,5030000.0,13800000.0,267.49867233138605
PR006,1064199999,1057799999.0,6400000.0,2.1950761155751515
PR007,6880000,6200000.0,680000.0,36.075581395348834
PR008,42900000,38000000.0,4900000.0,41.68997668997669
PR009,13700000,5280000.0,8420000.0,224.32846715328466
PR010,5210000,2150000.0,3060000.0,214.37619961612285
PR011,500000,500000.0,0.0,0.0
PR012,350000,350000.0,0.0,0.0
